hla1,hla2,sim
DRA_0101__DRB1_0103,DRA_0101__DRB1_1501,0.297
C__02_02,C__14_02,0.261
DRA_0101__DRB1_0403,DRA_0101__DRB1_0802,0.355
DQA1_0201__DQB1_0303,DQA1_0601__DQB1_0301,0.272
DQA1_0201__DQB1_0303,DQA1_0301__DQB1_0502,0.377
DQA1_0101__DQB1_0502,DQA1_0201__DQB1_0202,0.417
B__15_16,B__27_05,0.427
DRA_0101__DRB1_0403,DRA_0101__DRB1_1101,0.387
DRA_0101__DRB1_0411,DRA_0101__DRB1_1001,0.326
DRA_0101__DRB1_0408,DRA_0101__DRB1_0802,0.358
DQA1_0301__DQB1_0502,DQA1_0505__DQB1_0301,0.488
B__07_02,C__04_01,0.691
DQA1_0101__DQB1_0502,DQA1_0102__DQB1_0609,0.155
B__37_01,B__41_02,0.374
A__33_01,B__15_03,0.363
A__26_01,B__08_01,0.492
DRA_0101__DRB1_0411,DRA_0101__DRB1_0803,0.363
DQA1_0503__DQB1_0301,DQA1_0601__DQB1_0301,0.272
DQA1_0103__DQB1_0601,DQA1_0302__DQB1_0301,0.41
DRA_0101__DRB1_0102,DRA_0101__DRB1_0803,0.237
B__41_02,B__44_03,0.257
DRA_0101__DRB1_0102,DRA_0101__DRB1_1501,0.21
B__07_02,B__40_01,0.184
DQA1_0102__DQB1_0602,DQA1_0301__DQB1_0302,0.427
DRA_0101__DRB1_1301,DRA_0101__DRB1_1402,0.179
DRA_0101__DRB1_0801,DRA_0101__DRB1_1401,0.249
B__15_03,C__02_02,0.488
DQA1_0501__DQB1_0501,DQA1_0503__DQB1_0301,0.346
DQA1_0302__DQB1_0301,DQA1_0501__DQB1_0201,0.424
DQA1_0101__DQB1_0501,DQA1_0201__DQB1_0302,0.329
DRA_0101__DRB1_1407,DRA_0101__DRB1_1501,0.265
A__11_01,B__18_01,0.436
DRA_0101__DRB1_1103,DRA_0101__DRB1_1302,0.141
A__29_02,C__02_02,0.465
DRA_0101__DRB1_1301,DRA_0101__DRB1_1303,0.1
DQA1_0101__DQB1_0501,DQA1_0101__DQB1_0503,0.1
DQA1_0301__DQB1_0303,DQA1_0302__DQB1_0301,0.219
B__57_01,C__15_05,0.569
A__03_01,B__44_04,0.449
B__18_01,B__27_05,0.458
DRA_0101__DRB1_0801,DRA_0101__DRB1_1103,0.219
DQA1_0102__DQB1_0302,DQA1_0401__DQB1_0402,0.484
DRA_0101__DRB1_1001,DRA_0101__DRB1_1601,0.241
DQA1_0102__DQB1_0604,DQA1_0301__DQB1_0502,0.427
B__08_01,C__02_02,0.518
B__27_02,C__15_05,0.626
DQA1_0301__DQB1_0502,DQA1_0501__DQB1_0202,0.488
DRA_0101__DRB1_0407,DRA_0101__DRB1_1401,0.307
DRA_0101__DRB1_1407,DRA_0101__DRB1_1601,0.272
A__26_01,C__15_02,0.555
DRA_0101__DRB1_1101,DRA_0101__DRB1_1202,0.184
DQA1_0102__DQB1_0609,DQA1_0501__DQB1_0202,0.516
DQA1_0102__DQB1_0502,DQA1_0302__DQB1_0301,0.445
DQA1_0101__DQB1_0502,DQA1_0301__DQB1_0302,0.4
DRA_0101__DRB1_1104,DRA_0101__DRB1_1401,0.319
DRA_0101__DRB1_1201,DRA_0101__DRB1_1601,0.232
DRA_0101__DRB1_0101,DRA_0101__DRB1_0403,0.21
DQA1_0102__DQB1_0502,DQA1_0201__DQB1_0202,0.415
A__03_01,B__15_03,0.322
A__02_01,B__15_08,0.482
DQA1_0102__DQB1_0302,DQA1_0301__DQB1_0303,0.355
A__74_03,B__52_01,0.326
A__02_06,B__15_03,0.431
DRA_0101__DRB1_1104,DRA_0101__DRB1_1502,0.265
DQA1_0101__DQB1_0501,DQA1_0102__DQB1_0502,0.045
DQA1_0101__DQB1_0503,DQA1_0102__DQB1_0604,0.195
